B,k,survivors,W1_act,W1_noise,rho
20,1,57975,0.0008998327224534254,0.003664736904271362,0.0
20,2,17483,0.01026684787440394,0.005871274811589921,11.409729406606843
20,3,6250,0.01491982803225517,0.007462555747032165,1.4532043539333503
20,4,2586,0.0198260371451542,0.021437288520530687,1.32883818112999
20,5,1092,0.01687399860157635,0.020711766767414496,0.85110294498266
20,6,490,0.08346705830522948,0.029356104333181768,4.946489582939285
20,7,211,0.05355065790892212,0.06127635170639409,0.6415783543382287
20,8,106,0.11745099294579255,0.08787724192974702,2.193268907088888
22,1,276855,0.0003194272453570383,0.0017307513658758537,0.0
22,2,85180,0.0020718830719635675,0.0035980708926853146,6.486244057383803
22,3,32389,0.004592591103322419,0.0038292662231449726,2.216626587411578
22,4,13499,0.007688549039034731,0.005689565946445774,1.6741200916999996
22,5,5978,0.006089718763736149,0.010403825524121313,0.7920504548801955
22,6,2695,0.024457073438366624,0.01385719830339605,4.016125273962862
22,7,1251,0.03482083815167085,0.022301694957448614,1.423753264650473
22,8,675,0.026036098478017026,0.04582242597032478,0.747716018914028
22,9,345,0.06449805453851604,0.062436572030402614,2.477254977083969
22,10,155,0.07380420709809948,0.03675120246987189,1.1442857870081358
24,1,604024,0.0008567343751598667,0.0007345822523186136,0.0
24,2,185474,0.0017888094836474556,0.0013415279258529235,2.087939430834281
24,3,64691,0.0029651454621115857,0.0022086548409921036,1.6576083083289188
24,4,23365,0.0037458619414140137,0.005793361717198508,1.263297868276065
24,5,8502,0.01467744591491443,0.008605032513398784,3.9183093622969687
24,6,3096,0.00944023340632441,0.0197446105246088,0.6431795736839849
24,7,1070,0.02280975267569595,0.020753398544598966,2.4162276178907542
24,8,396,0.0301769512771356,0.030942782684408057,1.3229845893633685
24,9,146,0.0638908897462773,0.057398513061543026,2.117208234838686
26,1,635817,0.0010520082681270435,0.0010833692384072027,0.0
26,2,173836,0.002656780813954747,0.0017998662186143762,2.525437198972572
26,3,48778,0.002683388044298284,0.0055548777728399125,1.0100148383350942
26,4,13458,0.008638047640192366,0.005840851570583237,3.2190825544395865
26,5,3740,0.012022351672783253,0.016301352478922372,1.391790387545897
26,6,1045,0.02692399377885618,0.035892632803278104,2.239494777033344
26,7,299,0.055522275509244226,0.09054932752032344,2.06218572048723
28,1,668058,0.0014805929271037106,0.0007257240067901315,0.0
28,2,104584,0.0013341560608174563,0.0027544706946445903,0.9010957950658933
28,3,16053,0.004199336264169915,0.005089512514771386,3.147560010031302
28,4,2546,0.01403799106989521,0.015494626981132346,3.342907113600751
28,5,441,0.02877580248613477,0.04200660744829784,2.049851887129714
