peak,center,center_bits,inputs,hit_rate,status,sample_size,tree_depth,tree_size,notes
113,,,0,,NONE,80,0,0,"80 samples, no confluence"
114,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
115,,,0,,NONE,80,0,0,"80 samples, no confluence"
116,,,0,,NONE,80,0,0,"80 samples, no confluence"
117,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
118,,,0,,NONE,80,0,0,"80 samples, no confluence"
119,,,0,,NONE,80,0,0,"80 samples, no confluence"
120,,,0,,NONE,80,0,0,"80 samples, no confluence"
121,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
122,2051,12,5,0.0625,NONE,80,0,0,sampling only (6%)
123,,,0,,NONE,80,0,0,"80 samples, no confluence"
124,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
125,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
126,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
127,23,5,2,0.0250,NONE,80,0,0,sampling only (2%)
128,,,0,,NONE,80,0,0,"80 samples, no confluence"
129,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
130,23,5,4,0.0500,NONE,80,0,0,sampling only (5%)
131,,,0,,NONE,80,0,0,"80 samples, no confluence"
132,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
133,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
134,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
135,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
136,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
137,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
138,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
139,53,6,5,0.0625,NONE,80,0,0,sampling only (6%)
140,35,6,2,0.0250,NONE,80,0,0,sampling only (2%) (known: 20152090995747160937051)
141,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
142,469,9,2,0.0250,NONE,80,0,0,sampling only (2%)
143,23,5,5,0.0625,NONE,80,0,0,sampling only (6%)
144,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
145,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
146,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
147,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
148,1075,11,2,0.0250,NONE,80,0,0,sampling only (2%)
149,,,0,,NONE,80,0,0,"80 samples, no confluence"
150,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
151,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
152,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
153,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
154,23,5,2,0.0250,NONE,80,0,0,sampling only (2%)
155,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
156,,,0,,NONE,80,0,0,"80 samples, no confluence"
157,2051,12,4,0.0500,NONE,80,0,0,sampling only (5%)
158,,,0,,NONE,80,0,0,"80 samples, no confluence"
159,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
160,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
161,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
162,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
163,3077,12,5,0.0625,NONE,80,0,0,sampling only (6%)
164,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
165,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
166,35,6,4,0.0500,NONE,80,0,0,sampling only (5%)
167,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
168,,,0,,NONE,80,0,0,"80 samples, no confluence"
169,,,0,,NONE,80,0,0,"80 samples, no confluence"
170,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
171,23,5,2,0.0250,NONE,80,0,0,sampling only (2%)
172,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
173,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
174,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
175,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
176,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
177,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
178,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
179,35,6,4,0.0500,NONE,80,0,0,sampling only (5%)
180,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
