peak,method,pred_bits,center,center_bits,inputs,hit_rate,status,samples_found,total_checked,notes
46,exhaustive,29.3,516844415,29,520,0.9286,CONFIRMED,654053,1430257664,
47,exhaustive,29.8,442441855,29,548,0.8712,CONFIRMED,325864,1430257664,
48,exhaustive,30.3,2303929595,32,520,0.9286,CONFIRMED,651168,2860515328,
49,exhaustive,30.8,3830005073,32,520,0.8333,CONFIRMED,328236,2860515328,
50,exhaustive,31.3,1396693151,31,716,0.8850,CONFIRMED,651169,5721030656,
